income,life expectancy,population size,region
972,51.6,20100000,Asia
5470,74.4,3120000,Europe
10200,73.9,31200000,Africa
31700,81.8,65400,Europe
3510,53.4,16400000,Africa
18800,74.7,83600,Americas
14900,74.2,37100000,Americas
2930,71.8,3070000,Asia
35300,79.7,19100000,Oceania
38800,78.1,8070000,Europe
4460,66.6,8120000,Asia
25800,71.3,298000,Americas
45500,71.7,665000,Asia
1640,65.5,132000000,Asia
14400,74.9,270000,Americas
7560,68.5,9930000,Europe
37300,77.8,10300000,Europe
6960,68.9,247000,Americas
1670,57.6,6870000,Africa
3540,65.6,573000,Asia
4410,67.7,8340000,NA
6330,74.8,3770000,Europe
10400,46.7,1730000,Africa
11400,71.4,175000000,Americas
82100,76,333000,NA
8960,71.8,8000000,Europe
1050,52.2,11600000,Africa
754,47.9,6400000,Africa
1380,59.5,12200000,Asia
2510,54.5,15300000,Africa
37400,79.2,30700000,Americas
3840,69.8,435000,NA
819,44.5,3750000,Africa
993,52.2,8340000,Africa
14300,77.2,15300000,Americas
3700,70,1280000000,Asia
8310,73.3,40400000,Americas
1480,61.5,542000,Africa
529,53.4,47100000,Africa
4480,52.8,3230000,NA
9880,78,3930000,Americas
2950,52.6,16700000,Africa
15700,73.9,4430000,Europe
11600,76.6,11200000,Americas
30100,76.8,943000,Asia
21100,75,10300000,Europe
42300,76.9,5340000,Europe
2130,61.4,718000,Africa
8180,72.9,69700,Americas
7960,73.2,8560000,Americas
7390,74.3,12600000,Americas
7390,69.9,69900000,Africa
6360,72.2,5870000,Americas
10800,54.4,614000,Africa
1680,58.1,3390000,Africa
15700,70.8,1400000,Europe
618,51.1,66500000,Africa
6670,64.3,811000,Oceania
34900,77.7,5190000,Europe
34900,79.1,59600000,Europe
17800,59.1,1230000,Africa
1560,63.3,1230000,Africa
3260,71.7,4720000,Asia
36800,77.9,81500000,Europe
2260,59.3,18900000,Africa
24800,78.6,11100000,Europe
9650,71.2,102000,Americas
6070,68.6,11700000,Americas
1360,52.3,1240000,Africa
1130,54.7,8810000,Africa
4510,65.6,753000,Americas
1740,56.8,8550000,Americas
3330,69.6,6520000,Americas
17900,71.8,10200000,Europe
34100,79.9,280000,Europe
2500,62.3,1050000000,Asia
5810,67.3,212000000,Asia
11900,71.6,66100000,NA
12200,66,23600000,Asia
40800,76.7,3850000,Europe
26100,78.5,6010000,Asia
36500,79.5,57300000,Europe
7930,73.8,2660000,Americas
33900,81,128000000,Asia
7240,73.1,5100000,Asia
9950,64.6,15100000,NA
2130,55.2,31500000,Africa
2010,59.5,84400,Oceania
69900,76.5,2050000,Asia
2080,66.4,4920000,Asia
2350,57.1,5330000,NA
11200,70.4,2380000,Europe
12500,76.5,3240000,Asia
1780,48.8,1870000,Africa
839,54.5,2880000,Africa
21900,74.4,5360000,Africa
12200,72,3500000,Europe
81700,78.4,436000,Europe
8620,72.2,2030000,NA
1440,58.5,15800000,Africa
866,44.7,11400000,Africa
16300,73.1,23200000,Asia
6860,72.1,280000,Asia
1460,53.4,11000000,Africa
24600,77.5,397000,Europe
2870,63.3,52200,Oceania
2750,63.7,2710000,Africa
11100,71.5,1190000,Africa
15000,74.6,102000000,Americas
3170,64.8,107000,NA
2320,67.6,4200000,NA
4660,62.8,2400000,Asia
10100,73.8,614000,Europe
4480,70.9,28800000,Africa
562,51.3,18100000,Africa
1310,61.1,46100000,Asia
6110,53.6,1900000,Africa
1540,63.7,23700000,Asia
41700,78.1,15900000,Europe
28300,78.5,3860000,Oceania
3460,75.6,5030000,Americas
753,52.2,11400000,Africa
2850,54.9,122000000,Africa
1290,63.6,22900000,Asia
58100,78.7,4500000,Europe
44000,74.5,2270000,Asia
3500,62.6,139000000,Asia
2260,71.4,3220000,Asia
10600,76.9,3030000,Americas
1790,57.6,5570000,Oceania
6090,74.4,5300000,Americas
6560,74.8,25900000,Americas
4220,68.2,78000000,Asia
14700,73.8,38600000,Europe
26000,76.7,10400000,Europe
108000,75.3,592000,Asia
10500,71.2,22100000,Europe
14100,65.6,146000000,Europe
785,49.4,8030000,Africa
4330,70.5,175000,Oceania
2000,64.6,139000,Africa
43100,73,20800000,Asia
1910,59.6,9880000,Africa
7990,72.2,9490000,Europe
18500,71.2,81200,Africa
913,50.9,4560000,Africa
51700,79.4,3910000,Asia
15600,73.3,5400000,Europe
22700,75.9,1990000,Europe
1730,61.5,413000,Oceania
603,52.1,9010000,Africa
9720,55.4,45700000,Africa
20800,76,47400000,Asia
2640,54.5,6700000,Africa
30000,79.4,40900000,Europe
5580,72.8,18800000,Asia
10000,74.2,157000,Americas
7560,70.2,108000,Americas
2290,62.6,27300000,Africa
9730,69.7,472000,Americas
5840,47.5,1060000,NA
36900,79.7,8880000,Europe
50300,79.9,7170000,Europe
5190,73.3,16400000,Asia
1180,65.2,6220000,Asia
1480,52.9,34200000,Africa
9190,72,63000000,Asia
1390,63.7,872000,Asia
1280,56.3,4970000,Africa
4600,68.8,98100,Oceania
18300,69.5,1270000,Americas
7570,75,9700000,Africa
13900,74.1,63200000,Asia
5330,63.7,4520000,NA
1070,48.7,24000000,Africa
4800,67.4,48800000,Europe
103000,74.8,3150000,Asia
33000,77.8,59000000,Europe
46000,76.9,282000000,Americas
12900,74.8,3320000,Americas
2500,66.4,24800000,Asia
2820,62.4,185000,Oceania
14400,74.3,24500000,Americas
2650,70.7,80300000,NA
3890,62.6,17900000,Asia
2100,44.1,10500000,Africa
2570,46.7,12200000,Africa
NA,NA,NA,Europe
NA,NA,NA,Oceania
NA,NA,NA,Americas
NA,NA,NA,
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Africa
NA,NA,NA,Asia
NA,NA,NA,Africa
NA,NA,NA,Americas
NA,NA,NA,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Americas
NA,NA,NA,Africa
NA,NA,NA,Americas
NA,NA,NA,Europe
NA,NA,NA,Americas
NA,NA,NA,Oceania
NA,NA,NA,Africa
NA,NA,NA,Europe
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Oceania
NA,NA,NA,Europe
NA,NA,NA,Oceania
NA,NA,785,Europe
NA,NA,NA,Asia
NA,NA,NA,Asia
NA,NA,NA,Europe
NA,NA,NA,Europe
NA,NA,NA,Asia
NA,NA,NA,Asia
NA,NA,33300,Europe
NA,NA,NA,Asia
NA,NA,NA,Europe
NA,NA,NA,Americas
NA,NA,NA,Africa
NA,NA,NA,Oceania
NA,NA,NA,Europe
NA,NA,32100,Europe
NA,NA,NA,Americas
NA,NA,10000,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Oceania
NA,NA,19200,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Americas
NA,NA,NA,Africa
NA,NA,NA,Americas
NA,NA,NA,Africa
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,27400,Europe
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Europe
NA,NA,NA,Asia
NA,NA,NA,Oceania
NA,NA,NA,Asia
NA,NA,NA,Americas
NA,NA,9420,Oceania
NA,NA,NA,Oceania
NA,NA,NA,Asia
NA,NA,NA,Americas
NA,NA,NA,Americas
NA,NA,NA,Oceania
NA,NA,NA,Africa
NA,NA,45400,NA
